[2026-03-27T22:48:35.757Z] GET https://www.google.com/maps/search/Hey+Beauty+Krak%C3%B3w → pending (?ms, ?B)
[2026-03-27T22:48:35.927Z] GET https://consent.google.com/m?continue=https://www.google.com/maps/search/Hey%2BBeauty%2BKrak%25C3%25B3w&gl=PL&m=0&pc=m&uxe=eomtm&cm=2&hl=pl&src=1 → 200 (162ms, 630151B)
[2026-03-27T22:48:36.157Z] GET https://www.gstatic.com/_/mss/boq-identity/_/js/k=boq-identity.ConsentUi.pl.zo9han4X6Tk.2018.O/am=AAAAAGYB/d=1/excm=_b,_tp,mainview/ed=1/dg=0/wt=2/ujg=1/rs=AOaEmlFPwYW6Y_yWFYvhpaZ5E26pSE6_4w/dti=1/m=_b,_tp → 200 (170ms, 191942B)
[2026-03-27T22:48:36.157Z] GET https://www.gstatic.com/images/branding/googlelogo/svg/googlelogo_clr_160x56px.svg → 200 (142ms, 1790B)
[2026-03-27T22:48:36.232Z] GET https://www.gstatic.com/ac/cb/li_design_services_cb_v2_2_gm_grey_700.svg → 200 (72ms, 786B)
[2026-03-27T22:48:36.232Z] GET https://www.gstatic.com/ac/cb/li_warnings_cb_v2_2_gm_grey_700.svg → 200 (74ms, 435B)
[2026-03-27T22:48:36.232Z] GET https://www.gstatic.com/ac/cb/li_bar_chart_cb_v2_2_gm_grey_700.svg → 200 (84ms, 196B)
[2026-03-27T22:48:36.232Z] GET https://www.gstatic.com/ac/cb/li_insights_cb_v2_2_gm_grey_700.svg → 200 (84ms, 617B)
[2026-03-27T22:48:36.234Z] GET https://www.gstatic.com/ac/cb/li_magic_button_cb_v2_2_gm_grey_700.svg → 200 (84ms, 349B)
[2026-03-27T22:48:36.234Z] GET https://www.gstatic.com/ac/cb/li_ads_cb_v2_2_gm_grey_700.svg → 200 (87ms, 748B)
[2026-03-27T22:48:36.234Z] GET https://fonts.gstatic.com/s/googlesans/v58/4UaRrENHsxJlGDuGo1OIlJfC6l_24rlCK1Yo_Iq2vgCIhM907w.woff2 → 200 (227ms, 52244B)
[2026-03-27T22:48:36.234Z] GET https://fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxKKTU1Kg.woff2 → 200 (232ms, 10748B)
[2026-03-27T22:48:36.234Z] GET https://fonts.gstatic.com/s/googlesans/v58/4UaRrENHsxJlGDuGo1OIlJfC6l_24rlCK1Yo_Iq2sACIhM907-0x.woff2 → 200 (232ms, 29488B)
